id	Address_updated	Address_city	Address_street
1	Україна, Луганська область, Біла Гора, вулиця Польова, 15	Україна, Луганська область, Біла Гора	Україна, Луганська область, Біла Гора, вулиця Польова
2	Україна, Луганська область, Білогорівка, провулок Миру, 3	Україна, Луганська область, Білогорівка	Україна, Луганська область, Білогорівка, провулок Миру
3	Україна, Луганська область, Гірське, вулиця Чернишевського, 38	Україна, Луганська область, Гірське	Україна, Луганська область, Гірське, вулиця Чернишевського
4	Україна, Луганська область, Калинове, вулиця Тімірязєва, 12	Україна, Луганська область, Калинове	Україна, Луганська область, Калинове, вулиця Тімірязєва
5	Україна, Луганська область, Комишуваха, вулиця Космiчна, 2	Україна, Луганська область, Комишуваха	Україна, Луганська область, Комишуваха, вулиця Космiчна
6	Україна, Луганська область, Лоскутівка, вулиця Заярна, 35	Україна, Луганська область, Лоскутівка	Україна, Луганська область, Лоскутівка, вулиця Заярна
7	Україна, Луганська область, Малорязанцево, вулиця Новосадова, 43	Україна, Луганська область, Малорязанцево	Україна, Луганська область, Малорязанцево, вулиця Новосадова
8	Україна, Луганська область, Новотошківське, вулиця Куйбишева, 1	Україна, Луганська область, Новотошківське	Україна, Луганська область, Новотошківське, вулиця Куйбишева
9	Україна, Луганська область, Нижнє, вулиця Ворошилова, 28	Україна, Луганська область, Нижнє	Україна, Луганська область, Нижнє, вулиця Ворошилова
10	Україна, Луганська область, Олександропілля, вулиця Красноармiйська, 2	Україна, Луганська область, Олександропілля	Україна, Луганська область, Олександропілля, вулиця Красноармiйська
11	Україна, Луганська область, Тошківка, квартал Цуприка, 28	Україна, Луганська область, Тошківка	Україна, Луганська область, Тошківка, квартал Цуприка
12	Україна, Луганська область, Троїцьке, вулиця Щорса, 51	Україна, Луганська область, Троїцьке	Україна, Луганська область, Троїцьке, вулиця Щорса
13	Україна, Луганська область, Верхньокам'янка, вулиця Садова, 9	Україна, Луганська область, Верхньокам'янка	Україна, Луганська область, Верхньокам'янка, вулиця Садова
14	Україна, Луганська область, Врубівка, вулиця Садова, 32	Україна, Луганська область, Врубівка	Україна, Луганська область, Врубівка, вулиця Садова
15	Україна, Луганська область, Золотарівка, вулиця Космічна, 11	Україна, Луганська область, Золотарівка	Україна, Луганська область, Золотарівка, вулиця Космічна
16	Україна, Луганська область, Золоте, квартал Сонячний, 1	Україна, Луганська область, Золоте	Україна, Луганська область, Золоте, квартал Сонячний
17	Україна, Луганська область, Біла Гора, вулиця Зубенко, 13	Україна, Луганська область, Біла Гора	Україна, Луганська область, Біла Гора, вулиця Зубенко
18	Україна, Луганська область, Білогорівка, вулиця Совєтська, 13	Україна, Луганська область, Білогорівка	Україна, Луганська область, Білогорівка, вулиця Совєтська
19	Україна, Луганська область, Гірське, вулиця Гагаріна, 13	Україна, Луганська область, Гірське	Україна, Луганська область, Гірське, вулиця Гагаріна
20	Україна, Луганська область, Комишуваха, вулиця Привільнянська, 160	Україна, Луганська область, Комишуваха	Україна, Луганська область, Комишуваха, вулиця Привільнянська
21	Україна, Луганська область, Лоскутівка, вулиця Петровського, 83	Україна, Луганська область, Лоскутівка	Україна, Луганська область, Лоскутівка, вулиця Петровського
22	Україна, Луганська область, Малорязанцево, вулиця Новосадова, 7	Україна, Луганська область, Малорязанцево	Україна, Луганська область, Малорязанцево, вулиця Новосадова
23	Україна, Луганська область, Новотошківське, вулиця Куйбишева, 2	Україна, Луганська область, Новотошківське	Україна, Луганська область, Новотошківське, вулиця Куйбишева
24	Україна, Луганська область, Нижнє, вулиця Ворошилова, 16	Україна, Луганська область, Нижнє	Україна, Луганська область, Нижнє, вулиця Ворошилова
25	Україна, Луганська область, Олександропілля, вулиця Красноармiйська, 3	Україна, Луганська область, Олександропілля	Україна, Луганська область, Олександропілля, вулиця Красноармiйська
26	Україна, Луганська область, Тошківка, квартал Цуприка, 30	Україна, Луганська область, Тошківка	Україна, Луганська область, Тошківка, квартал Цуприка
27	Україна, Луганська область, Троїцьке, вулиця Щорса, 47	Україна, Луганська область, Троїцьке	Україна, Луганська область, Троїцьке, вулиця Щорса
28	Україна, Луганська область, Врубівка, вулиця Жовтнева, 22	Україна, Луганська область, Врубівка	Україна, Луганська область, Врубівка, вулиця Жовтнева
29	Україна, Луганська область, Золотарівка, вулиця Пушкіна, 15	Україна, Луганська область, Золотарівка	Україна, Луганська область, Золотарівка, вулиця Пушкіна
30	Україна, Луганська область, Золоте, квартал Сонячний, 7	Україна, Луганська область, Золоте	Україна, Луганська область, Золоте, квартал Сонячний
