id;address;geopoint;geopoint_street;geopoint_settlement
1;Україна, Луганська область, Біла Гора, вулиця Польова, 15;48.852258 38.51021;48.852258 38.51021;48.852258 38.51021
2;Україна, Луганська область, Білогорівка, провулок Миру, 3;48.927128 38.248486;48.927128 38.248486;48.927128 38.248486
3;Україна, Луганська область, Гірське, вулиця Чернишевського, 38;48.741521 38.488273;48.740464 38.487923;48.749856 38.500455
4;Україна, Луганська область, Калинове, вулиця Тімірязєва, 12;48.565514 38.508899;48.565514 38.508899;48.565514 38.508899
5;Україна, Луганська область, Комишуваха, вулиця Космiчна, 2;48.695068 38.38618;48.692671 38.391192;48.696317 38.477242
6;Україна, Луганська область, Лоскутівка, вулиця Заярна, 35;48.8016 38.409213;48.8016 38.409213;48.80427 38.410488
7;Україна, Луганська область, Малорязанцево, вулиця Новосадова, 43;48.88477 38.383027;48.88477 38.383027;48.88477 38.383027
8;Україна, Луганська область, Новотошківське, вулиця Куйбишева, 1;48.723563 38.628276;48.726808 38.629354;48.725209 38.632507
9;Україна, Луганська область, Нижнє, вулиця Ворошилова, 28;48.777388 38.612771;48.777388 38.612771;48.771296 38.619922
10;Україна, Луганська область, Олександропілля, вулиця Красноармiйська, 2;48.673393 38.364701;48.673393 38.364701;48.673393 38.364701
11;Україна, Луганська область, Тошківка, квартал Цуприка, 28;48.791748 38.531168;48.791433 38.532596;48.779585 38.558773
12;Україна, Луганська область, Троїцьке, вулиця Щорса, 51;49.909918 38.28432;49.909918 38.28432;48.524 38.370918
13;Україна, Луганська область, Верхньокам'янка, вулиця Садова, 9;48.854434 38.265383;48.854434 38.265383;48.855406 38.268141
14;Україна, Луганська область, Врубівка, вулиця Садова, 32;48.626233 38.5967;48.625197 38.595649;48.744842 38.378625
15;Україна, Луганська область, Золотарівка, вулиця Космічна, 11;48.877636 38.270684;48.877636 38.270684;48.8767 38.269237
16;Україна, Луганська область, Золоте, квартал Сонячний, 1;48.708726 38.505171;48.709326 38.50633;48.692743 38.519463
17;Україна, Луганська область, Біла Гора, вулиця Зубенко, 13;48.852258 38.51021;48.852258 38.51021;48.852258 38.51021
18;Україна, Луганська область, Білогорівка, вулиця Совєтська, 13;48.927128 38.248486;48.927128 38.248486;48.927128 38.248486
19;Україна, Луганська область, Гірське, вулиця Гагаріна, 13;48.742626 38.490959;48.742513 38.491525;48.749856 38.500455
20;Україна, Луганська область, Комишуваха, вулиця Привільнянська, 160;48.588392 38.706753;48.588392 38.706753;48.696317 38.477242
21;Україна, Луганська область, Лоскутівка, вулиця Петровського, 83;48.804525 38.406131;48.804525 38.406131;48.80427 38.410488
22;Україна, Луганська область, Малорязанцево, вулиця Новосадова, 7;48.88477 38.383027;48.88477 38.383027;48.88477 38.383027
23;Україна, Луганська область, Новотошківське, вулиця Куйбишева, 2;48.723753 38.629084;48.726808 38.629354;48.725209 38.632507
24;Україна, Луганська область, Нижнє, вулиця Ворошилова, 16;48.777388 38.612771;48.777388 38.612771;48.771296 38.619922
25;Україна, Луганська область, Олександропілля, вулиця Красноармiйська, 3;48.673393 38.364701;48.673393 38.364701;48.673393 38.364701
26;Україна, Луганська область, Тошківка, квартал Цуприка, 30;48.791873 38.532156;48.791433 38.532596;48.779585 38.558773
27;Україна, Луганська область, Троїцьке, вулиця Щорса, 47;49.909918 38.28432;49.909918 38.28432;48.524 38.370918
28;Україна, Луганська область, Врубівка, вулиця Жовтнева, 22;48.739661 38.380089;48.739661 38.380089;48.744842 38.378625
29;Україна, Луганська область, Золотарівка, вулиця Пушкіна, 15;48.876706 38.270791;48.876706 38.270791;48.8767 38.269237
30;Україна, Луганська область, Золоте, квартал Сонячний, 7;48.709445 38.508755;48.709326 38.50633;48.692743 38.519463
